cod_circoscrizione_ita,cod_circoscrizione,circoscrizione,sz_perv,sz_tot,agg
1,222,AUSTRIA,9,9,20190527081611
1,223,BELGIO,49,49,20190527184707
1,224,BULGARIA,1,1,20190527164500
1,308,CIPRO,1,1,20190527163300
1,259,CROAZIA,5,5,20190527061905
1,227,DANIMARCA,3,3,20190527083155
1,256,ESTONIA,1,1,20190527082500
1,228,FINLANDIA,1,1,20190527084547
1,229,FRANCIA,95,95,20190527173202
1,230,GERMANIA,152,152,20190527162025
1,232,GRECIA,6,6,20190527154141
1,233,IRLANDA,4,4,20190527144943
1,255,LETTONIA,1,1,20190527083216
1,254,LITUANIA,1,1,NA
1,238,LUSSEMBURGO,5,5,20190527062401
1,239,MALTA,2,2,20190527075235
1,242,PAESI BASSI,9,9,20190527135435
1,243,POLONIA,2,2,20190527060756
1,244,PORTOGALLO,5,5,20190527080601
1,231,REGNO UNITO,73,73,20190527125150
1,225,REPUBBLICA CECA,2,2,20190527161628
1,245,ROMANIA,2,2,20190527172015
1,452,SLOVACCHIA,1,1,20190527081657
1,450,SLOVENIA,2,2,20190527173822
1,248,SPAGNA,35,35,20190527170210
1,249,SVEZIA,3,3,20190527154135
1,251,UNGHERIA,1,1,20190527063929
2,222,AUSTRIA,9,9,20190527022716
2,223,BELGIO,49,49,20190527051829
2,224,BULGARIA,1,1,20190527011904
2,308,CIPRO,1,1,20190527012751
2,259,CROAZIA,5,5,20190527053253
2,227,DANIMARCA,3,3,20190527041825
2,256,ESTONIA,1,1,20190527052517
2,228,FINLANDIA,1,1,20190527052744
2,229,FRANCIA,95,95,20190527052349
2,230,GERMANIA,152,152,20190527053842
2,232,GRECIA,6,6,20190527053406
2,233,IRLANDA,4,4,20190527040840
2,255,LETTONIA,1,1,NA
2,254,LITUANIA,1,1,20190527052556
2,238,LUSSEMBURGO,5,5,20190527021756
2,239,MALTA,2,2,20190527011928
2,242,PAESI BASSI,9,9,20190527065037
2,243,POLONIA,2,2,20190527041145
2,244,PORTOGALLO,5,5,20190527052934
2,231,REGNO UNITO,73,73,20190527052106
2,225,REPUBBLICA CECA,2,2,20190527052632
2,245,ROMANIA,2,2,20190527045035
2,452,SLOVACCHIA,1,1,20190527045228
2,450,SLOVENIA,2,2,20190527053911
2,248,SPAGNA,35,35,20190527052213
2,249,SVEZIA,3,3,20190527052521
2,251,UNGHERIA,1,1,20190527045519
3,222,AUSTRIA,9,9,20190527053946
3,223,BELGIO,49,49,20190527073637
3,224,BULGARIA,1,1,20190527045326
3,308,CIPRO,1,1,20190527040731
3,259,CROAZIA,5,5,20190527044824
3,227,DANIMARCA,3,3,20190527040543
3,256,ESTONIA,1,1,20190527045124
3,228,FINLANDIA,1,1,20190527041149
3,229,FRANCIA,95,95,20190527065031
3,230,GERMANIA,152,152,20190527071237
3,232,GRECIA,6,6,20190527040008
3,233,IRLANDA,4,4,20190527061555
3,255,LETTONIA,1,1,20190527020635
3,254,LITUANIA,1,1,20190527051805
3,238,LUSSEMBURGO,5,5,20190527062624
3,239,MALTA,2,2,20190527053235
3,242,PAESI BASSI,9,9,20190527052446
3,243,POLONIA,2,2,20190527041440
3,244,PORTOGALLO,5,5,20190527052315
3,231,REGNO UNITO,73,73,20190527065619
3,225,REPUBBLICA CECA,2,2,20190527045431
3,245,ROMANIA,2,2,20190527054053
3,452,SLOVACCHIA,1,1,20190527062949
3,450,SLOVENIA,2,2,20190527053325
3,248,SPAGNA,35,35,20190527063136
3,249,SVEZIA,3,3,20190527055052
3,251,UNGHERIA,1,1,20190527041007
4,222,AUSTRIA,9,9,20190527070221
4,223,BELGIO,49,49,20190527091452
4,224,BULGARIA,1,1,20190527072215
4,308,CIPRO,1,1,20190527083745
4,259,CROAZIA,5,5,20190527085256
4,227,DANIMARCA,3,3,20190527090456
4,256,ESTONIA,1,1,20190527080324
4,228,FINLANDIA,1,1,20190527084506
4,229,FRANCIA,95,95,20190527084810
4,230,GERMANIA,152,152,20190527091153
4,232,GRECIA,6,6,20190527090941
4,233,IRLANDA,4,4,20190527090304
4,255,LETTONIA,1,1,20190527072340
4,254,LITUANIA,1,1,20190527065810
4,238,LUSSEMBURGO,5,5,20190527082553
4,239,MALTA,2,2,20190527084613
4,242,PAESI BASSI,9,9,20190527084709
4,243,POLONIA,2,2,20190527065927
4,244,PORTOGALLO,5,5,20190527084923
4,231,REGNO UNITO,73,73,20190527090209
4,225,REPUBBLICA CECA,2,2,20190527073607
4,245,ROMANIA,2,2,20190527124750
4,452,SLOVACCHIA,1,1,20190527091234
4,450,SLOVENIA,2,2,NA
