cod_comune,comune,sz_perv,sz_tot,agg,cod_provincia,cod_circoscrizione,circoscrizione,cod_regione,regione,provincia
10,ARENZANO,0,10,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
20,AVEGNO,0,3,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
30,BARGAGLI,0,4,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
40,BOGLIASCO,0,4,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
50,BORZONASCA,0,4,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
60,BUSALLA,0,7,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
70,CAMOGLI,0,7,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
80,CAMPO LIGURE,0,3,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
90,CAMPOMORONE,0,9,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
100,CARASCO,0,4,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
110,CASARZA LIGURE,0,6,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
120,CASELLA,0,3,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
130,CASTIGLIONE CHIAVARESE,0,2,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
140,CERANESI,0,6,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
150,CHIAVARI,0,29,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
160,CICAGNA,0,2,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
170,COGOLETO,0,10,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
180,COGORNO,0,5,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
190,COREGLIA LIGURE,0,1,NA,34,1,I : ITALIA NORD-OCCIDENTALE,7,LIGURIA,GENOVA
