cod_circoscrizione,cod_regione,regione,sz_perv,sz_tot,agg,circoscrizione
1,7,LIGURIA,0,1791,NA,I : ITALIA NORD-OCCIDENTALE
1,3,LOMBARDIA,0,9239,NA,I : ITALIA NORD-OCCIDENTALE
1,1,PIEMONTE,0,4807,NA,I : ITALIA NORD-OCCIDENTALE
1,2,VALLE D'AOSTA,0,151,NA,I : ITALIA NORD-OCCIDENTALE
2,8,EMILIA-ROMAGNA,0,4522,NA,II : ITALIA NORD-ORIENTALE
2,6,FRIULI-VENEZIA GIULIA,0,1366,NA,II : ITALIA NORD-ORIENTALE
2,4,TRENTINO-ALTO ADIGE,0,1017,NA,II : ITALIA NORD-ORIENTALE
2,5,VENETO,0,4747,NA,II : ITALIA NORD-ORIENTALE
3,12,LAZIO,0,5298,NA,III : ITALIA CENTRALE
3,11,MARCHE,0,1573,NA,III : ITALIA CENTRALE
3,9,TOSCANA,0,3947,NA,III : ITALIA CENTRALE
3,10,UMBRIA,0,1005,NA,III : ITALIA CENTRALE
4,13,ABRUZZO,0,1633,NA,IV : ITALIA MERIDIONALE
4,17,BASILICATA,0,681,NA,IV : ITALIA MERIDIONALE
4,18,CALABRIA,0,2419,NA,IV : ITALIA MERIDIONALE
4,15,CAMPANIA,0,5825,NA,IV : ITALIA MERIDIONALE
4,14,MOLISE,0,393,NA,IV : ITALIA MERIDIONALE
4,16,PUGLIA,0,4022,NA,IV : ITALIA MERIDIONALE
5,20,SARDEGNA,0,1840,NA,V : ITALIA INSULARE
5,19,SICILIA,0,5300,NA,V : ITALIA INSULARE
