pos,desc_lis,img_lis,min,max_coll,voti,perc,area,circ_sto,cod_circ,data_prec_elez,desc_circ,dt_agg,dt_ele,ele_f,ele_m,ele_t,f_elet,fine_rip,l_terr,non_valid,perc_vot,sk_bianche,sk_contestate,sk_nulle,st,sz_perv,sz_tot,t_ele,tot_vot_lis,vot_f,vot_m,vot_t
5,LEGA SALVINI PREMIER,1-20190526000000-5.png,N,NA,3186364,"40,69",I,1,1,2.0140525e+13,I : ITALIA NORD-OCCIDENTALE,20190527080244,2.0190526e+13,6551678,6132418,12684096,SCRUTINI,N,CIRCOSCRIZIONE,NULL,0,0,0,0,ESERCIZIO,15970,15988,Europee,7829968,0,0,0
12,PARTITO DEMOCRATICO,1-20190526000000-12.png,N,NA,1836408,"23,45",I,1,1,2.0140525e+13,I : ITALIA NORD-OCCIDENTALE,20190527080244,2.0190526e+13,6551678,6132418,12684096,SCRUTINI,N,CIRCOSCRIZIONE,NULL,0,0,0,0,ESERCIZIO,15970,15988,Europee,7829968,0,0,0
8,MOVIMENTO 5 STELLE,1-20190526000000-8.png,N,NA,870496,"11,12",I,1,1,2.0140525e+13,I : ITALIA NORD-OCCIDENTALE,20190527080244,2.0190526e+13,6551678,6132418,12684096,SCRUTINI,N,CIRCOSCRIZIONE,NULL,0,0,0,0,ESERCIZIO,15970,15988,Europee,7829968,0,0,0
11,FORZA ITALIA,1-20190526000000-11.png,N,NA,688807,"8,80",I,1,1,2.0140525e+13,I : ITALIA NORD-OCCIDENTALE,20190527080244,2.0190526e+13,6551678,6132418,12684096,SCRUTINI,N,CIRCOSCRIZIONE,NULL,0,0,0,0,ESERCIZIO,15970,15988,Europee,7829968,0,0,0
7,FRATELLI D'ITALIA,1-20190526000000-7.png,N,NA,442659,"5,65",I,1,1,2.0140525e+13,I : ITALIA NORD-OCCIDENTALE,20190527080244,2.0190526e+13,6551678,6132418,12684096,SCRUTINI,N,CIRCOSCRIZIONE,NULL,0,0,0,0,ESERCIZIO,15970,15988,Europee,7829968,0,0,0
1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,N,NA,246605,"3,15",I,1,1,2.0140525e+13,I : ITALIA NORD-OCCIDENTALE,20190527080244,2.0190526e+13,6551678,6132418,12684096,SCRUTINI,N,CIRCOSCRIZIONE,NULL,0,0,0,0,ESERCIZIO,15970,15988,Europee,7829968,0,0,0
16,EUROPA VERDE,1-20190526000000-16.png,N,NA,190532,"2,43",I,1,1,2.0140525e+13,I : ITALIA NORD-OCCIDENTALE,20190527080244,2.0190526e+13,6551678,6132418,12684096,SCRUTINI,N,CIRCOSCRIZIONE,NULL,0,0,0,0,ESERCIZIO,15970,15988,Europee,7829968,0,0,0
18,LA SINISTRA,1-20190526000000-18.png,N,NA,115315,"1,47",I,1,1,2.0140525e+13,I : ITALIA NORD-OCCIDENTALE,20190527080244,2.0190526e+13,6551678,6132418,12684096,SCRUTINI,N,CIRCOSCRIZIONE,NULL,0,0,0,0,ESERCIZIO,15970,15988,Europee,7829968,0,0,0
2,PARTITO COMUNISTA,1-20190526000000-2.png,N,NA,64066,"0,82",I,1,1,2.0140525e+13,I : ITALIA NORD-OCCIDENTALE,20190527080244,2.0190526e+13,6551678,6132418,12684096,SCRUTINI,N,CIRCOSCRIZIONE,NULL,0,0,0,0,ESERCIZIO,15970,15988,Europee,7829968,0,0,0
4,PARTITO ANIMALISTA,1-20190526000000-4.png,N,NA,51113,"0,65",I,1,1,2.0140525e+13,I : ITALIA NORD-OCCIDENTALE,20190527080244,2.0190526e+13,6551678,6132418,12684096,SCRUTINI,N,CIRCOSCRIZIONE,NULL,0,0,0,0,ESERCIZIO,15970,15988,Europee,7829968,0,0,0
