cod_lis,cod_cand,cogn,nome,a_nome,sex,d_nasc,l_nasc,voti,cod,desc,img_lis,sez_perv,sez_tot,area,cod_circ,desc_circ,dt_ele,f_elet,l_terr,st,t_ele
1,1,DELLA VEDOVA,BENEDETTO,NA,M,19620403000000,SONDRIO,13325,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,2,MANZI,SILVJA,NA,F,19730724000000,FOGGIA,5998,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,5,PASTORELLA,GIULIA,NA,F,19860605000000,MILANO,5290,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,20,RIVA,MARTINA,NA,F,19930205000000,MILANO,4010,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,3,COGGI,PAOLA LETIZIA ,DETTA PAOLA TESTORI,F,19530503000000,COMO,3448,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,19,TOSA,LORENZO,NA,M,19830923000000,GENOVA,2136,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,9,BERTONCINO,MAURIZIA,NA,F,19650514000000,TORINO,2065,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,6,MOLINARI,GABRIELE,NA,M,19750622000000,VERCELLI,1908,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,4,MARAZZI,MARCO,NA,M,19690117000000,TERRACINA,1818,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,10,BONI,IGOR,NA,M,19680510000000,TORINO,1802,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,14,MORCELLI,STEFANO,NA,M,19920508000000,SONDALO,1478,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,8,BAGNOLI,CRISTINA,NA,F,19820113000000,SIENA,1085,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,11,INOUSSA,BARA,NA,M,19690101000000,BEGUEDO (BURKINA FASO),1072,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,16,PAULON,MIRKO,NA,M,19740930000000,COMO,1015,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,17,POGGIO,DANIELA,NA,F,19750530000000,ACQUI TERME,944,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,15,ORFEI,LIA,NA,F,19741013000000,ROMA,810,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
1,12,MARCELLINO,ELENA,NA,F,19760918000000,CARMAGNOLA,766,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,15988,15988,I,1,I : ITALIA NORD-OCCIDENTALE,2.0190526e+13,PREFERENZE,CIRCOSCRIZIONE,ESERCIZIO,Europee
