cod_lis,cod_cand,cogn,nome,a_nome,sex,d_nasc,l_nasc,voti,cod,desc,img_lis,sez_perv,sez_tot,area,cod_reg,desc_reg,dt_ele,f_elet,l_terr,st,t_ele
1,19,TOSA,LORENZO,NA,M,19830923000000,GENOVA,1308,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,1,DELLA VEDOVA,BENEDETTO,NA,M,19620403000000,SONDRIO,1130,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,5,PASTORELLA,GIULIA,NA,F,19860605000000,MILANO,601,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,2,MANZI,SILVJA,NA,F,19730724000000,FOGGIA,509,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,20,RIVA,MARTINA,NA,F,19930205000000,MILANO,287,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,3,COGGI,PAOLA LETIZIA ,DETTA PAOLA TESTORI,F,19530503000000,COMO,281,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,9,BERTONCINO,MAURIZIA,NA,F,19650514000000,TORINO,274,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,17,POGGIO,DANIELA,NA,F,19750530000000,ACQUI TERME,150,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,4,MARAZZI,MARCO,NA,M,19690117000000,TERRACINA,130,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,10,BONI,IGOR,NA,M,19680510000000,TORINO,101,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,6,MOLINARI,GABRIELE,NA,M,19750622000000,VERCELLI,77,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,15,ORFEI,LIA,NA,F,19741013000000,ROMA,76,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,11,INOUSSA,BARA,NA,M,19690101000000,BEGUEDO (BURKINA FASO),67,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,14,MORCELLI,STEFANO,NA,M,19920508000000,SONDALO,66,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,7,RINOLDI,DINO GUIDO,NA,M,19511118000000,SACILE,50,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,13,MICALIZZI,ALESSANDRA,NA,F,19781105000000,CATANIA,46,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,8,BAGNOLI,CRISTINA,NA,F,19820113000000,SIENA,44,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
1,18,DE ANDREIS,MARCO,NA,M,19550214000000,ROMA,38,1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,1791,1791,I,7,LIGURIA,2.0190526e+13,PREFERENZE,REGIONE,ESERCIZIO,Europee
